item_id,name,priority,preferred_zone,placement,placement_note
1,Research_Samples,84,Storage_Bay,,
2,LED_Work_Light,90,Maintenance_Bay,,
3,Pressure_Regulator,16,Airlock,,
4,Emergency_Oxygen_Mask,42,Medical_Bay,,
5,Battery_Pack,93,External_Storage,,
6,Laptop,60,Command_Center,,
7,Emergency_Oxygen_Mask,5,Medical_Bay,,
8,CO2_Scrubber,92,Life_Support,,
9,Emergency_Oxygen_Mask,20,Crew_Quarters,,
10,Food_Packet,41,Storage_Bay,,
11,EV_Suit_Battery,94,Storage_Bay,,
12,Seed_Packets,39,Greenhouse,,
13,Tether_Reel,76,Airlock,,
14,First_Aid_Kit,22,Crew_Quarters,,
15,Fire_Extinguisher,18,Engineering_Bay,,
16,LED_Work_Light,92,Engineering_Bay,,
17,LED_Work_Light,79,Maintenance_Bay,,
18,Radiation_Shield,97,Engineering_Bay,,
19,CO2_Scrubber,11,Life_Support,,
20,Vacuum_Sealed_Tools,17,Storage_Bay,,
21,Space_Suit,24,Storage_Bay,,
22,Thruster_Fuel,74,Engine_Bay,,
23,Pressure_Regulator,88,Airlock,,
24,Radiation_Shield,80,Storage_Bay,,
25,Protein_Bars,86,Crew_Quarters,,
26,Vacuum_Sealed_Tools,93,Maintenance_Bay,,
27,CO2_Scrubber,11,Engineering_Bay,,
28,Seed_Packets,74,Lab,,
29,Oxygen_Cylinder,69,Medical_Bay,,
30,Handheld_Spectrometer,2,Engineering_Bay,,
31,Protein_Bars,36,Crew_Quarters,,
32,Handheld_Spectrometer,11,Lab,,
33,Microgravity_Lab_Kit,64,Crew_Quarters,,
34,Communication_Device,31,Crew_Quarters,,
35,Battery_Pack,93,External_Storage,,
36,Fire_Extinguisher,97,Crew_Quarters,,
37,Antibiotic_Supply,75,Lab,,
38,Microgravity_Lab_Kit,85,Crew_Quarters,,
39,Seed_Packets,13,Lab,,
40,Tether_Reel,22,External_Storage,,
41,Helmet_Visor,63,Storage_Bay,,
42,Water_Bottle,72,Storage_Bay,,
43,Circuit_Board,48,Storage_Bay,,
44,Navigation_Module,21,Command_Center,,
45,EV_Suit_Battery,88,Airlock,,
46,Thruster_Fuel,66,Storage_Bay,,
47,Vacuum_Sealed_Tools,69,Storage_Bay,,
48,Scientific_Sensor,79,Cockpit,,
49,Food_Packet,61,Crew_Quarters,,
50,Tool_Kit,83,Storage_Bay,,
51,Research_Samples,14,Lab,,
52,Protein_Bars,94,Storage_Bay,,
53,Handheld_Spectrometer,21,Engineering_Bay,,
54,Scientific_Sensor,84,Cockpit,,
55,First_Aid_Kit,87,Medical_Bay,,
